conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
1.9996764104710597e+18,Sun Dec 14 03:49:10 +0000 2025,0.0,@Piyusaja2 Saya masih menyimpan harapan dan berdo'a suatu hari kelak anies akan jadi presiden dan memimpin bangsa Indonesia keluar dari kemelut multidimensional.,,2.0000504057206784e+18,,Piyusaja2,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050405720678518,1.8627195362035425e+18,,
1.9998128251123182e+18,Sun Dec 14 03:49:04 +0000 2025,0.0,@sbyfess klo pantai ke malang selatan banyak berjejer2 . klo kuliner pasar oro2 dowo ada kue lumpur enak bakso goreng dll jagung bakar kalo malam di jalan pulosari nasi goreng porsi banyak di pokang bakso presiden makan bakso sambil liat kreta api lewat,,2.0000503791287299e+18,,sbyfess,in,,0.0,1.0,0.0,https://x.com/undefined/status/2000050379128729858,1.3790155297388667e+18,,
1.9998061355458153e+18,Sun Dec 14 03:48:45 +0000 2025,0.0,@grok @kompascom Bagaimana pandangan mu mengenai presiden prabowo mengenalkan seskab Teddy ditengah kedatangannya di wilayah yg terdampak banjir bandang Aceh/sumatra sekarang ini? Apakah logis dan etis? Bukan kah perkenalan itu tidak lebih penting dari masyarakat yg membutuhkan bantuan cepat?,,2.0000502995669896e+18,,grok,in,,0.0,1.0,0.0,https://x.com/undefined/status/2000050299566989540,1190676715.0,,
2.0000229324503905e+18,Sun Dec 14 03:48:26 +0000 2025,0.0,@ARSIPAJA Presiden canda nya berkelas,,2.000050221208986e+18,,ARSIPAJA,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050221208986098,1.828542900122329e+18,,
2.0000501461141466e+18,Sun Dec 14 03:48:08 +0000 2025,0.0,Setelah 1th lebih jadi presiden gw saranin agar pemilih Prabowo sholat taubat dan akui kalau kalian udah salah pilih ,,2.0000501461141466e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050146114146630,8.40541965401768e+17,,
1.9998706609199027e+18,Sun Dec 14 03:47:50 +0000 2025,0.0,@WagimanDeep212_ masih percaya orang ini??? presiden aja diprank apalagi kaleyan,,2.0000500691067663e+18,,WagimanDeep212_,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050069106766282,1.937539130285785e+18,,
1.9997758383641108e+18,Sun Dec 14 03:47:43 +0000 2025,0.0,@tengklengklewer Dia pengen rakyat Aceh/Sumatra panas macam bikin demo atau ancaman pemisahan dr NKRI SUPAYA publik melihat Prabowo itu buruk unt degradasi elektoral/ hilang kepercayaan. prabowo tentu gak suci tp ditambah pembantu2 presiden yg pada gak kerja goalnya unt degradasi prabowo Kl,,2.0000500422422694e+18,,tengklengklewer,in,,0.0,0.0,1.0,https://x.com/undefined/status/2000050042242269543,1.5918507092844503e+18,,
2.00004991780146e+18,Sun Dec 14 03:47:14 +0000 2025,0.0,#Global Presiden Iran dan Perdana Menteri Pakistan tekankan keperluan penyelarasan lebih kukuh mengenai pembangunan serantau serta pelaksanaan penuh perjanjian antara dua negara jiran itu. https://t.co/F350RJdfjl https://t.co/x8XE7xBWYq,,2.00004991780146e+18,https://pbs.twimg.com/media/G8GayijakAAKoZd.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000049917801460026,43856742.0,,
2.0000498030453066e+18,Sun Dec 14 03:46:46 +0000 2025,0.0, Kami berharap Bapak Presiden juga dapat membantu pendanaan rehab dan rekonstruksi yang nilainya mencapai ratusan miliar rupiah katanya. #BanjirLandaAceh #BantuanBanjir #RehabRekon #BeritaAcehBarat https://t.co/lviouUVbCy,,2.0000498030453066e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000049803045306713,64635651.0,,
2.0000495654338276e+18,Sun Dec 14 03:45:50 +0000 2025,0.0,Seburuk apapun penyelenggaraan pemerintahan Presiden sekarang akan dipilih lagi kok. Lawannya juga udah ditentukan.,,2.0000495654338276e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000049565433827516,281920672.0,,
